SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,Tempo,TimeSignature,Title,ArtistFamiliarity,ArtistHotttnesss,Loudness,StartOfFadeOut
1,SOMZWCG12A8C13C480,300848,Fear Itself,ARD7TVE1187B99BFB1,Casual,218.93178999999998,92.198,4," Didn't Mean To""",0.5817937658450281,0.4019975433642836,-11.197000000000001,218.93200000000002
2,SOCIWDW12A8C13D406,300822,Dimensions,ARMJAGH1187FB546F3,The Box Tops,148.03546,121.274,4,Soul Deep,0.6306300375898077,0.4174996449709784,-9.843,137.915
3,SOXVLOJ12AB0189215,514953,Las Numero 1 De La Sonora Santanera,ARKRRTF1187B9984DA,Sonora Santanera,177.47546,100.07,1,Amor De Cabaret,0.4873567909281477,0.34342837829688244,-9.689,172.304
4,SONHOTT12A8C13493C,287650,Friend Or Foe,AR7G5I41187FB4CE6C,Adam Ant,233.40363,119.29299999999999,4,Something Girls,0.6303823341467806,0.4542311565706205,-9.013,217.12400000000002
5,SOFSOCN12A8C143F5D,611336,Muertos Vivos,ARXR32B1187FB57099,Gob,209.60608,129.738,4,Face the Ashes,0.6510456608317947,0.40172368550367865,-4.501,198.699
6,SOYMRWW12A6D4FAB14,41838,Ordinary Day,ARKFYS91187B98E58F,Jeff And Sheri Easter,267.7024,147.782,3,The Moon And I (Ordinary Day Album Version),0.5352927355118197,0.3854705505558211,-9.323,254.27
7,SOMJBYD12A6D4F8557,25824,Da Ghetto Psychic,ARD0S291187B9B7BF5,Rated R,114.78159,111.787,1,Keepin It Real (Skit),0.5564956019129572,0.2619411773808474,-17.302,114.78200000000001
8,SOHKNRJ12A6701D1F8,8876,Gin & Phonic,AR10USD1187B99F3F1,Tweeterfriendly Music,189.57016000000002,101.43,3,Drop of Rain,0.8011364469966873,0.6055071356905752,-11.642000000000001,181.023
9,SOIAZJW12AB01853F1,358182,Pink World,AR8ZCNI1187B9A069B,Planet P Project,269.81832,86.64299999999999,4,Pink World,0.4266678570694053,0.3322757465990681,-13.495999999999999,258.99
10,SOUDSGM12AC9618304,692313,Superinstrumental,ARNTLGG11E2835DDB9,Clp,266.39628,114.041,4,Insatiable (Instrumental Version),0.5505136978482137,0.4227056410293911,-6.697,261.747
11,SOQHXMF12AB0182363,539081,I Need You,ARGSJW91187B9B1D6B,JennyAnyKind,218.77506,146.765,1,Young Boy Blues,0.3600311664643514,0.2962689543114633,-10.021,207.012
12,SOKEJEJ12A8C13E0D0,163874,The Way Home,ARC43071187B990240,Wayne Watson,245.21097999999998,117.975,4,The Urgency (LP Version),0.5451592956008632,0.35155586118563925,-7.545,227.48
13,SOMUYGI12AB0188633,575792,Placer & Castigo,ARL7K851187B99ACD2,Andy Andy,226.35057,130.04,4,La Culpa,0.5775089743252977,0.3794821702804675,-6.632000000000001,221.553
14,SORAMLE12AB017C8B0,815863,Arrivederci,ARHHO3O1187B989413,Bob Azzam,191.84281000000001,137.334,1,Auguri Cha Cha,0.08551204710857879,0.25193652476242323,-7.75,188.424
15,SOBONFF12A6D4F84D8,25811,Dancing On The Ceiling,ARIK43K1187B9AE54C,Lionel Richie,307.3824,125.197,3,Tonight Will Be Alright,0.7766758556845541,0.5530719914619753,-8.346,296.658
16,SOHUOAP12A8AE488E9,135122,Outskirts,ARD842G1187B997376,Blue Rodeo,491.12771,119.82600000000001,4,Floating,0.6364236449500698,0.4479354804795022,-8.576,486.034
17,SOUQQEA12A8C134B1B,149958,Cross Currents,ARIG6O41187B988BDD,Richard Souther,228.5971,127.756,5,High Tide,0.4199431484349393,0.33080635685585685,-16.11,217.426
18,SOILPQQ12AB017E82A,535188,Panjtan Ka Ghulam,AR1ZHYZ1187FB3C717,Faiz Ali Faiz,599.24853,99.273,4,Sohna Nee Sohna Data,0.3632805711099885,0.3066760934790295,-8.032,591.999
19,SOXLBJT12A8C140925,372309,Gold,ARYKCQI1187FB3B18F,Tesla,290.29832000000005,150.062,4,Caught In A Dream,0.7071997638379363,0.5134632897021558,-5.271,285.605
21,SOWTBJW12AC468AC6E,605134,1942-1952 Jimmy Wakely,ARQGYP71187FB44566,Jimmy Wakely,151.84933999999998,86.186,3,Broken-Down Merry-Go-Round,0.3941385398458925,0.2915397270887777,-15.220999999999998,146.19899999999998
