,endTime,artistName,trackName,msPlayed,artist_uri,album_uri,track_uri,listen_count
1,2021-02-11 02:20,Joel Fletcher,Flacko,11180,spotify:artist:2Z4QqhmV5Xw5vX2ZI70HOR,spotify:album:6fJK9gtpLdbjiuCdgHz9BK,spotify:track:5NvU6DpB4ug8zLXbU7sncy,1.0
2,2021-02-14 01:33,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215,spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:album:3aZthZKHMbbleXcilISjha,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,6.0
3,2021-02-14 01:33,Bizarrap,"Seven Kayne: Bzrp Music Sessions, Vol. 33",1004,spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:album:5VZx3dyGCnrp2JUQMbmi27,spotify:track:5PmK5pRspJq5ki30zgyv7G,1.0
5,2021-02-14 01:47,EDX,Want You (Then I Found You) (feat. BB Diamond) Vocal Edit,166252,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:24fio0gVYU9GLny67BeiRt,spotify:track:5aiB1OZ3TyDvOgeEypvFec,1.0
6,2021-02-14 01:50,EDX,Revered,194754,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:6giO9hfEDrOJRDtMv6CNgt,spotify:track:0nmYqUa3FiBKRBYfCws4OV,1.0
7,2021-02-14 01:52,EDX,Ubuntu,102086,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:2enxGrGEB2txFlFadx6dzx,spotify:track:18zapdywTsbPPqI7Tx5H7Y,2.0
8,2021-02-17 11:48,Darude,Sandstorm,116540,spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ,spotify:album:0Xks5v0dve8Gh2tRHIekjo,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,7.0
9,2021-02-18 07:01,Darude,Sandstorm,225493,spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ,spotify:album:0Xks5v0dve8Gh2tRHIekjo,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,7.0
10,2021-02-18 07:07,Eric Prydz,Pjanoo,15968,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7zlMxh1NR0Shklu48L4e7x,spotify:track:0F2BxpbxH8Yc3pLub48hrb,5.0
11,2021-02-18 07:58,Eric Prydz,Pjanoo,141464,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7zlMxh1NR0Shklu48L4e7x,spotify:track:0F2BxpbxH8Yc3pLub48hrb,5.0
12,2021-02-18 08:01,Tiësto,Adagio For Strings,205053,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,spotify:album:4MKq1Buhkx4Ksu0ngWHhr3,spotify:track:0yMoJXVP6hFLV71DRVxRTk,5.0
13,2021-02-18 08:05,Sash!,Encore Une Fois Future Breeze Edit,221160,spotify:artist:5XTxV2ifoYkmNb13Gb6cKz,spotify:album:2YBkamwn6VqpPO2wOfDVjS,spotify:track:3UPBOL5UtCZmJRwioMkfLD,2.0
14,2021-02-18 08:08,Faithless,Insomnia 2.0 (Avicii Remix),184991,spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,spotify:album:5USqWtDnrzYSN7oh1wPl2O,spotify:track:0CjYhruIIhXaXjUBXvqs24,1.0
15,2021-02-18 08:16,Eric Prydz,Call on Me,171360,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7thKR3tw162CqNqIRdwZ3z,spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,7.0
16,2021-02-18 08:39,Gigi DAgostino,Bla Bla Bla,211139,spotify:artist:1OAjDaKgg00KCUYqDe68un,spotify:album:5aSbB0dVq5o7N5eSfnexjV,spotify:track:04zrPERrSO4CfyargthKJ9,1.0
