,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,Joel Fletcher,Flacko,spotify:artist:2Z4QqhmV5Xw5vX2ZI70HOR,spotify:album:6fJK9gtpLdbjiuCdgHz9BK,spotify:track:5NvU6DpB4ug8zLXbU7sncy,,,,,,,,,,,,,
2,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:album:3aZthZKHMbbleXcilISjha,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,,,,,,,,,,,,,
3,Bizarrap,"Seven Kayne: Bzrp Music Sessions, Vol. 33",spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:album:5VZx3dyGCnrp2JUQMbmi27,spotify:track:5PmK5pRspJq5ki30zgyv7G,,,,,,,,,,,,,
5,EDX,Want You (Then I Found You) (feat. BB Diamond) Vocal Edit,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:24fio0gVYU9GLny67BeiRt,spotify:track:5aiB1OZ3TyDvOgeEypvFec,,,,,,,,,,,,,
6,EDX,Revered,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:6giO9hfEDrOJRDtMv6CNgt,spotify:track:0nmYqUa3FiBKRBYfCws4OV,,,,,,,,,,,,,
7,EDX,Ubuntu,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:2enxGrGEB2txFlFadx6dzx,spotify:track:18zapdywTsbPPqI7Tx5H7Y,,,,,,,,,,,,,
8,Darude,Sandstorm,spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ,spotify:album:0Xks5v0dve8Gh2tRHIekjo,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,,,,,,,,,,,,,
10,Eric Prydz,Pjanoo,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7zlMxh1NR0Shklu48L4e7x,spotify:track:0F2BxpbxH8Yc3pLub48hrb,,,,,,,,,,,,,
12,Tiësto,Adagio For Strings,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,spotify:album:4MKq1Buhkx4Ksu0ngWHhr3,spotify:track:0yMoJXVP6hFLV71DRVxRTk,,,,,,,,,,,,,
13,Sash!,Encore Une Fois Future Breeze Edit,spotify:artist:5XTxV2ifoYkmNb13Gb6cKz,spotify:album:2YBkamwn6VqpPO2wOfDVjS,spotify:track:3UPBOL5UtCZmJRwioMkfLD,,,,,,,,,,,,,
14,Faithless,Insomnia 2.0 (Avicii Remix),spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,spotify:album:5USqWtDnrzYSN7oh1wPl2O,spotify:track:0CjYhruIIhXaXjUBXvqs24,,,,,,,,,,,,,
15,Eric Prydz,Call on Me,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7thKR3tw162CqNqIRdwZ3z,spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,,,,,,,,,,,,,
16,Gigi DAgostino,Bla Bla Bla,spotify:artist:1OAjDaKgg00KCUYqDe68un,spotify:album:5aSbB0dVq5o7N5eSfnexjV,spotify:track:04zrPERrSO4CfyargthKJ9,,,,,,,,,,,,,
21,EDX,The Time Is Now,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:0hy5rHURrvVPbKOoPNuv5S,spotify:track:2oTa5zhlsr8luF8JNBeHQQ,,,,,,,,,,,,,
22,EDX,This Is Your Life,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:21NXzVQakij6zNoNnbQmyJ,spotify:track:54Y2keSd23TaXNagpWuEz9,,,,,,,,,,,,,
23,EDX,Omertà,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:7kvcdxX98StHFtw59mNR34,spotify:track:25KTbUfF7xRAfImLslU0af,,,,,,,,,,,,,
25,Timbaland,The Way I Are,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,spotify:album:4BxB8U8QgpR4UCvJ0moj8Z,spotify:track:2bLqfJjuC5syrsgDsZfGmn,,,,,,,,,,,,,
26,Desireless,Voyage voyage,spotify:artist:1yjAx9cww4f1QuAaN3dUI2,spotify:album:17EANLCoErHdo9FpzMx25q,spotify:track:2d8D7uk3tbAThjRkdfrx9c,,,,,,,,,,,,,
27,In-Grid,Tu es foutu,spotify:artist:1SLFnlhgHr5lExgdr6YeoL,spotify:album:1gjo8YgnY2ETkKEWIBA87M,spotify:track:5TX4QkyawyBAjNjwF2qBzG,,,,,,,,,,,,,
28,Kate Ryan,Voyage voyage,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:17dTqQJyrp8jd6GQXzx6r9,spotify:track:4HsvdyB7HDERx46V8Q8dV8,,,,,,,,,,,,,
29,Alizée,Moi... Lolita,spotify:artist:53deL58uye6fCqRK4COtR4,spotify:album:27GazU6l1uTiP8WW4sw5vy,spotify:track:6e0LjNPkRqxIAlmmdjWSV8,,,,,,,,,,,,,
30,Loreen,Euphoria,spotify:artist:49aaHxvAJ0tCh0F15OnwIl,spotify:album:73FYKSgOypVgghYr8GsEGl,spotify:track:2knr7ikPt4l7bk92qS4ZXW,,,,,,,,,,,,,
31,Kate Ryan,Désenchantée,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:5XCvIMSKvTNyYq9HevTWa3,spotify:track:6SNcx71T1M7CkRCbswPtwj,,,,,,,,,,,,,
