,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1,Joel Fletcher,Flacko,spotify:artist:2Z4QqhmV5Xw5vX2ZI70HOR,spotify:album:6fJK9gtpLdbjiuCdgHz9BK,spotify:track:5NvU6DpB4ug8zLXbU7sncy,0.325,0.837,187500.0,0.604,0.588,8.0,0.0882,-7.537,1.0,0.235,128.126,4.0,0.292
2,Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:album:3aZthZKHMbbleXcilISjha,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,0.25,0.65,171215.0,0.655,0.0,1.0,0.0691,-3.71,0.0,0.405,94.059,4.0,0.735
3,Bizarrap,"Seven Kayne: Bzrp Music Sessions, Vol. 33",spotify:artist:716NhGYqD1jl2wI1Qkgq36,spotify:album:5VZx3dyGCnrp2JUQMbmi27,spotify:track:5PmK5pRspJq5ki30zgyv7G,0.0519,0.723,142857.0,0.719,9.52e-05,1.0,0.0933,-5.796,1.0,0.0432,126.006,4.0,0.324
5,EDX,Want You (Then I Found You) (feat. BB Diamond) Vocal Edit,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:24fio0gVYU9GLny67BeiRt,spotify:track:5aiB1OZ3TyDvOgeEypvFec,0.00522,0.753,166252.0,0.921,0.000461,7.0,0.0777,-4.202,0.0,0.0542,121.997,4.0,0.608
6,EDX,Revered,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:6giO9hfEDrOJRDtMv6CNgt,spotify:track:0nmYqUa3FiBKRBYfCws4OV,0.182,0.764,194754.0,0.886,0.0124,6.0,0.363,-5.262,0.0,0.119,121.999,4.0,0.648
7,EDX,Ubuntu,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:2enxGrGEB2txFlFadx6dzx,spotify:track:18zapdywTsbPPqI7Tx5H7Y,0.00764,0.757,172920.0,0.982,0.521,11.0,0.0724,-4.323,0.0,0.0665,125.001,4.0,0.463
8,Darude,Sandstorm,spotify:artist:0LhHRmSd1EYM5QdNeNnCoQ,spotify:album:0Xks5v0dve8Gh2tRHIekjo,spotify:track:6Sy9BUbgFse0n0LPA5lwy5,0.141,0.528,225493.0,0.965,0.985,11.0,0.0797,-7.984,0.0,0.0465,136.065,4.0,0.587
10,Eric Prydz,Pjanoo,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7zlMxh1NR0Shklu48L4e7x,spotify:track:0F2BxpbxH8Yc3pLub48hrb,0.000563,0.605,157432.0,0.874,0.812,7.0,0.112,-4.949,0.0,0.0295,125.99,4.0,0.836
12,Tiësto,Adagio For Strings,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,spotify:album:4MKq1Buhkx4Ksu0ngWHhr3,spotify:track:0yMoJXVP6hFLV71DRVxRTk,0.0202,0.49,205053.0,0.916,0.939,10.0,0.119,-8.663,0.0,0.0461,139.976,4.0,0.367
13,Sash!,Encore Une Fois Future Breeze Edit,spotify:artist:5XTxV2ifoYkmNb13Gb6cKz,spotify:album:2YBkamwn6VqpPO2wOfDVjS,spotify:track:3UPBOL5UtCZmJRwioMkfLD,0.00683,0.663,221160.0,0.925,0.703,9.0,0.185,-6.775,1.0,0.0449,132.687,4.0,0.843
14,Faithless,Insomnia 2.0 (Avicii Remix),spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,spotify:album:5USqWtDnrzYSN7oh1wPl2O,spotify:track:0CjYhruIIhXaXjUBXvqs24,0.0388,0.721,373249.0,0.783,0.812,6.0,0.0817,-6.124,1.0,0.0516,126.008,4.0,0.197
15,Eric Prydz,Call on Me,spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R,spotify:album:7thKR3tw162CqNqIRdwZ3z,spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff,0.00427,0.597,171360.0,0.837,0.00115,10.0,0.839,-6.518,1.0,0.375,126.342,4.0,0.447
