SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,ArtistFamiliarity,ArtistHotttnesss,SongHotttnesss,EndOfFadeIn,Energy,Loudness,StartOfFadeOut
1,"b'SOMZWCG12A8C13C480'",300848,"b'Fear Itself'","b'ARD7TVE1187B99BFB1'",,"b'California - LA'",,"b'Casual'",0.0,218.93179,1,0.736,92.198,4,0.778,"b"I Didn't Mean To"",0,0.5817937658450281,0.4019975433642836,0.6021199899057548,0.247,0.0,-11.197,218.932
2,"b'SOCIWDW12A8C13D406'",300822,"b'Dimensions'","b'ARMJAGH1187FB546F3'",35.14968,"b'Memphis TN'",-90.04892,"b'The Box Tops'",0.0,148.03546,6,0.169,121.274,4,0.384,"b'Soul Deep'",1969,0.6306300375898077,0.4174996449709784,nan,0.148,0.0,-9.843,137.915
3,"b'SOXVLOJ12AB0189215'",514953,"b'Las Numero 1 De La Sonora Santanera'","b'ARKRRTF1187B9984DA'",,"b''",,"b'Sonora Santanera'",0.0,177.47546,8,0.643,100.07,1,0.0,"b'Amor De Cabaret'",0,0.4873567909281477,0.34342837829688244,nan,0.282,0.0,-9.689,172.304
4,"b'SONHOTT12A8C13493C'",287650,"b'Friend Or Foe'","b'AR7G5I41187FB4CE6C'",,"b'London England'",,"b'Adam Ant'",0.0,233.40363,0,0.751,119.293,4,0.0,"b'Something Girls'",1982,0.6303823341467806,0.4542311565706205,nan,0.0,0.0,-9.013,217.124
5,"b'SOFSOCN12A8C143F5D'",611336,"b'Muertos Vivos'","b'ARXR32B1187FB57099'",,"b''",,"b'Gob'",0.0,209.60608,2,0.092,129.738,4,0.562,"b'Face the Ashes'",2007,0.6510456608317947,0.40172368550367865,0.6045007385888197,0.066,0.0,-4.501,198.699
6,"b'SOYMRWW12A6D4FAB14'",41838,"b'Ordinary Day'","b'ARKFYS91187B98E58F'",,"b''",,"b'Jeff And Sheri Easter'",0.0,267.7024,5,0.635,147.782,3,0.454,"b'The Moon And I (Ordinary Day Album Version)'",0,0.5352927355118197,0.385470550555821,nan,2.264,0.0,-9.323,254.27
7,"b'SOMJBYD12A6D4F8557'",25824,"b'Da Ghetto Psychic'","b'ARD0S291187B9B7BF5'",,"b'Ohio'",,"b'Rated R'",0.0,114.78159,1,0.0,111.787,1,0.0,"b'Keepin It Real (Skit)'",0,0.5564956019129572,0.2619411773808474,nan,0.096,0.0,-17.302,114.782
8,"b'SOHKNRJ12A6701D1F8'",8876,"b'Gin & Phonic'","b'AR10USD1187B99F3F1'",,"b'Burlington Ontario Canada'",,"b'Tweeterfriendly Music'",0.0,189.57016,4,0.0,101.43,3,0.408,"b'Drop of Rain'",0,0.8011364469966873,0.6055071356905752,nan,0.319,0.0,-11.642,181.023
9,"b'SOIAZJW12AB01853F1'",358182,"b'Pink World'","b'AR8ZCNI1187B9A069B'",,"b''",,"b'Planet P Project'",0.0,269.81832,4,0.717,86.643,4,0.487,"b'Pink World'",1984,0.42666785706940524,0.33227574659906806,0.26586104921065007,5.3,0.0,-13.496,258.99
10,"b'SOUDSGM12AC9618304'",692313,"b'Superinstrumental'","b'ARNTLGG11E2835DDB9'",,"b''",,"b'Clp'",0.0,266.39628,7,0.053,114.041,4,0.878,"b'Insatiable (Instrumental Version)'",0,0.5505136978482137,0.42270564102939107,nan,0.084,0.0,-6.697,261.747
